,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
0,predictions_ARIMA_Server_1_Tactic_1.csv,2083734.578787352,18172918.22433936,45044.89308277595,1092,324388.3559152876,61,2543,1061,30,31,1482
1,predictions_SVR_RBF_Server_1_Tactic_1.csv,16233361.709438346,21002805.45886666,2296955.414229096,805,9259657.302125353,700,1904,802,697,3,1102
2,predictions_MLP_Server_1_Tactic_1.csv,2081534.2432537929,18229239.858315162,43671.565360506196,1086,448094.7087616407,63,2541,1065,42,21,1476
3,predictions_LSTM_Server_1_Tactic_1.csv,3756964.2270314316,18584488.072328933,97990.96255105778,1052,1196344.7626165624,118,2486,1045,111,7,1441
4,predictions_MLP_Server_2_Tactic_1.csv,6153786.491314029,38296828.53205165,82492.75316912484,1348,398199.83378238935,105,2498,1280,37,68,1218
5,predictions_LSTM_Server_3_Tactic_1.csv,16208668.084219404,35376229.44833836,782182.3376187376,1040,2878599.6317358967,362,2242,918,240,122,1324
6,predictions_LSTM_Server_2_Tactic_1.csv,5316315.794022402,38977552.37764427,141048.03877880183,1275,1334600.3282274276,140,2463,1256,121,19,1207
7,predictions_MLP_Server_3_Tactic_1.csv,14669162.693799887,34677567.50641319,660779.8568444437,1127,1315650.5260208228,302,2302,940,115,187,1362
8,predictions_ARIMA_Server_2_Tactic_1.csv,4768181.90353762,38496928.71930529,66952.33276101862,1326,568485.2922149043,95,2508,1284,53,42,1224
9,predictions_SVR_RBF_Server_3_Tactic_1.csv,27229983.19809042,37806877.26729723,3208746.1135537648,796,9932398.146154428,719,1885,758,681,38,1127
10,predictions_SVR_RBF_Server_2_Tactic_1.csv,12351123.07384308,40058157.469468094,535387.3462874495,1164,3723747.884838488,322,2281,1161,319,3,1120
11,predictions_ARIMA_Server_3_Tactic_1.csv,16663079800.486767,727003415.6974233,7098.7777962373175,1439,0.0,4,2600,1435,0,4,1165
