,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
0,predictions_SVR_RBF.csv,136764508441.80782,143697465406.2947,2937816.2587271626,33072,5829002.085580386,18809,33287,33054,18791,18,233
3,prediction_MLP_server1_tactic_1.csv,34473811.03513974,78540576.63857755,2618.0,3473,0.0,17,3456,3456,0,17,0
6,predictions_MLP.csv,35682534473.68119,143652965314.28094,185555.56812179863,49316,555881.2846905112,2443,49653,49295,2422,21,358
9,prediction_LSTM_server1_tactic_1.csv,39962462.26529105,78540576.63857755,2618.0,3473,0.0,17,3456,3456,0,17,0
10,predictions_ARIMA.csv,137181954350.2954,143652213766.9423,4575096.839026934,33527,7376500.665880132,18226,33870,33509,18208,18,361
12,predictions_LSTM.csv,50152032885.28512,143652850758.95648,365295.5376441257,47136,1072504.349070642,4645,47451,47104,4613,32,347
14,prediction_SVR_RBF_server1_tactic_1.csv,67802425.6811513,78540576.63857755,2618.0,3473,0.0,17,3456,3456,0,17,0
15,prediction_ARIMA_server1_tactic_1.csv,34473811.03513974,78540576.63857755,2618.0,3473,0.0,17,3456,3456,0,17,0
16,predictions_SVR_RBF.csv,136764508441.80782,143697465406.2947,2937816.2587271626,33072,5829002.085580386,18809,33287,33054,18791,18,233
19,prediction_MLP_server1_tactic_1.csv,34473811.03513974,78540576.63857755,2618.0,3473,0.0,17,3456,3456,0,17,0
22,predictions_MLP.csv,35682534473.68119,143652965314.28094,185555.56812179863,49316,555881.2846905112,2443,49653,49295,2422,21,358
25,prediction_LSTM_server1_tactic_1.csv,39962462.26529105,78540576.63857755,2618.0,3473,0.0,17,3456,3456,0,17,0
26,predictions_ARIMA.csv,137181954350.2954,143652213766.9423,4575096.839026934,33527,7376500.665880132,18226,33870,33509,18208,18,361
28,predictions_LSTM.csv,50152032885.28512,143652850758.95648,365295.5376441257,47136,1072504.349070642,4645,47451,47104,4613,32,347
30,prediction_SVR_RBF_server1_tactic_1.csv,67802425.6811513,78540576.63857755,2618.0,3473,0.0,17,3456,3456,0,17,0
31,prediction_ARIMA_server1_tactic_1.csv,34473811.03513974,78540576.63857755,2618.0,3473,0.0,17,3456,3456,0,17,0
