,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
0,prediction_AVG_server1_tactic_1.csv,51308.79608825605,54367.43474497235,9027.807253555937,2496,18573.664395687723,1004,2469,2468,976,28,1
1,predictions_runningAvg.csv,131706886.59722729,143699981.84670952,759634.8071159336,3159,962887.5092546116,21507,30589,2365,20713,794,28224
2,prediction_LASTVAL_server2_tactic_1.csv,39935.65079485076,30858.17272709375,2.64272652088267,3473,0.0,5,3468,3468,0,5,0
3,prediction_LASTVAL_server3_tactic_1.csv,8674.312314430043,16888.88767959197,882.221878176348,2493,3342.8045478291156,571,2903,2205,283,288,698
4,prediction_AVG_100_server2_tactic_1.csv,39444.3131348927,44792.232834827286,7656.828940894768,2069,21656.82894089478,1400,2073,2069,1400,0,4
5,predictions_Avg.csv,139041203.73581988,143755852.1903682,1539209.3752242893,2131,1794905.0290867712,25806,26291,1956,25631,175,24335
6,prediction_Running_AVG_server1_tactic_1.csv,4.635507408120751e+53,44647.42400283188,176.80685452492543,3464,10.700644994809696,22,3451,3443,1,21,8
7,prediction_AVG_100_server1_tactic_1 .csv,48923.901561452425,53212.635418152386,7883.997415935783,2605,16346.729448959122,897,2601,2576,868,29,25
8,prediction_AVG_100_server3_tactic_1.csv,43478.686627019444,27349.947912737254,13313.176248454685,1271,29532.143207431047,1656,1818,1242,1627,29,576
9,predictions_lastVal.csv,7.937038133239745e+51,143618721.44048938,160558.51972995978,14496,112237.87166037792,19359,32737,1564,6427,12932,31173
10,prediction_Running_AVG_server2_tactic_1.csv,2886.1171944518646,30869.885821588396,4.91372024853894,3472,12.270993727660935,6,3467,3467,1,5,0
11,predictions_Avg_100.csv,139202992.94422317,143759090.15135616,1568133.1457777296,2108,1825355.5273797365,25913,26184,1967,25772,141,24217
12,prediction_Running_AVG_server3_tactic_1.csv,7627.89600090947,17724.779482156915,482.27869983164493,2438,2799.403417103419,421,3053,2263,246,175,790
13,prediction_LASTVAL_server1_tactic_1.csv,1.1645761338235499e+54,44705.8589043841,170.0,3461,0.0,17,3456,3444,0,17,12
14,prediction_AVG_server2_tactic_1.csv,14483.845229768907,30867.94310511809,3.7001065220459086,3472,11.057380001167903,6,3528,3467,1,5,61
15,prediction_AVG_server3_tactic_1.csv,42862.84226358467,27366.54780514604,13104.766330063832,1279,29009.044697528112,1624,1850,1251,1596,28,599
