,Hours,Minutes,Seconds,Latency,Reliability,TotalCost,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Tactic__1,Tactic__2,Tactic__3,Tactic__4,Tactic__5,Server__1,Server__2,Server__3,predicted_Latency,predicted_Reliability,predicted_TotalCost
0,0.565217391,0.474576271,0.33073535600000004,0.015460669,1,0.031043971,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,,
15,0.565217391,0.491525424,0.7596845109999999,0.0152735,1,0.029592074,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015887713,1.0,0.029539686000000002
30,0.565217391,0.525423729,0.410879055,0.015463548999999998,1,0.027236627000000003,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016147206,1.0,0.029713927
45,0.565217391,0.542372881,0.477075783,0.015263876000000001,1,0.031724222,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016097693,1.0,0.029686421
60,0.565217391,0.559322034,0.7095731479999999,0.01526245,1,0.034409501,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016379034,1.0,0.02904072
75,0.565217391,0.576271186,0.730713933,0.015241319,1,0.031677339,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015877908,1.0,0.029544856
90,0.565217391,0.610169492,0.022089004,0.015460612,1,0.027776082999999997,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.01561551,1.0,0.029343888
105,0.565217391,0.627118644,0.727646604,0.015646748999999998,1,0.030866422,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015857989,1.0,0.02953577
120,0.565217391,0.661016949,0.428019484,0.015457078,1,0.033759285,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016054248,1.0,0.029640416
135,0.565217391,0.6779661020000001,0.724018704,0.015255866000000002,1,0.036006907000000005,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015820464,1.0,0.029493393
150,0.565217391,0.6949152540000001,0.819858935,0.015681751,1,0.027620955,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015756095,1.0,0.0294719
165,0.565217391,0.7288135590000001,0.023855141,0.015517116999999999,1,0.028424217999999998,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015814171999999998,1.0,0.028780282
180,0.565217391,0.745762712,0.007088503,0.015247546,1,0.029541788,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015568676000000002,1.0,0.029327923
195,0.565217391,0.745762712,0.978306825,0.015258958999999999,1,0.03440163,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015617473,1.0,0.029394435
210,0.565217391,0.779661017,0.003370987,0.015277248,1,0.034981032999999995,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015566787,1.0,0.029332772000000003
225,0.565217391,0.779661017,0.9897175559999999,0.015308252,1,0.029120142999999998,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015689013999999998,1.0,0.029553445
240,0.565217391,0.813559322,0.026943972000000004,0.015674264,1,0.026503457,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015529035,1.0,0.02930805
255,0.565217391,0.830508475,0.051289216,0.015455563,1,0.033755974,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015988441000000003,1.0,0.029973777000000004
270,0.565217391,0.847457627,0.034396034,0.01526104,1,0.032255926000000004,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015534619,1.0,0.029343374
285,0.565217391,0.86440678,0.052137199999999995,0.015245618,1,0.040279164,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015509946,1.0,0.029326586
300,0.565217391,0.8813559320000001,0.08706671,0.015281136,1,0.026377029,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.01546268,1.0,0.029334856
315,0.565217391,0.898305085,0.34633198600000004,0.015248071,1,0.03383994,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016061192,1.0,0.0297048
330,0.565217391,0.9152542370000001,0.329466617,0.015246849,1,0.030077536000000002,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016073877,1.0,0.029721089
345,0.565217391,0.93220339,0.458741775,0.015484727,1,0.02672845,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.01512775,1.0,0.028119925
360,0.565217391,0.949152542,0.437715631,0.015470451999999999,1,0.034333471000000004,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0159429,1.0,0.02960779
375,0.565217391,0.966101695,0.586095819,0.015478666,1,0.032715903,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015038217,1.0,0.028074883
390,0.565217391,0.983050847,0.557241903,0.015267237,1,0.033882477,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015947936,1.0,0.029757677000000003
405,0.565217391,1.0,0.5107374379999999,0.01546824,1,0.027244888,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015858823,1.0,0.029556298999999998
420,0.608695652,0.0,0.459962266,0.015267399,1,0.031731544,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.01631687,1.0,0.029733606
435,0.608695652,0.016949153,0.39823593,0.015462411,1,0.02668993,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.01642404,1.0,0.029881507
450,0.608695652,0.033898305,0.35987348,0.015466628999999999,1,0.035414667999999996,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016380427,1.0,0.029777221
465,0.608695652,0.050847458,0.359194345,0.015573045,1,0.035109743,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016398383,1.0,0.029818092
480,0.608695652,0.06779661,0.45807317299999994,0.015455401,1,0.034844512,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016319295,1.0,0.02977692
495,0.608695652,0.084745763,0.480515935,0.0152513,1,0.029549061,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016292268000000002,1.0,0.029756328
510,0.608695652,0.101694915,0.506741506,0.015466401999999999,1,0.033234816,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016264109,1.0,0.029738038999999997
525,0.608695652,0.118644068,0.72821407,0.015492531,1,0.026196168,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016088476,1.0,0.029628552000000002
540,0.608695652,0.13559322,0.7766199970000001,0.01546841,1,0.033784033,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.016211391999999998,1.0,0.029743506
555,0.608695652,0.152542373,0.812626057,0.015487428999999999,1,0.030552131,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015979866000000002,1.0,0.029527819
570,0.608695652,0.169491525,0.870299832,0.015250111,1,0.034381682999999996,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.015991238999999997,1.0,0.02960829
585,0.608695652,0.186440678,0.947200742,0.015515805,1,0.032247827,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.01588012,1.0,0.029488921
