,Hours,Minutes,Seconds,Latency,Reliability,TotalCost,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Tactic__1,Tactic__2,Tactic__3,Tactic__4,Tactic__5,Server__1,Server__2,Server__3,predicted_Latency,predicted_Reliability,predicted_TotalCost
5,0.565217391,0.474576271,0.99896158,0.10121550900000001,1,0.082006644,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136003756,1.0,0.131394167
20,0.565217391,0.508474576,0.745017835,0.067802745,1,0.040604142,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.135404806,1.0,0.137114128
35,0.565217391,0.525423729,0.898029368,0.087321941,1,0.08305414,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13636757,1.0,0.132028104
50,0.565217391,0.542372881,0.987109528,0.06859195400000001,1,0.067655848,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136425764,1.0,0.132630405
65,0.565217391,0.576271186,0.15817251300000001,0.061944555,1,0.067645509,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.135503331,1.0,0.136124041
80,0.565217391,0.5932203389999999,0.29113470199999997,0.087098329,1,0.06750044599999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.135390954,1.0,0.136223201
95,0.565217391,0.627118644,0.091631376,0.337822599,1,0.190406961,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13538075800000002,1.0,0.128509645
110,0.565217391,0.644067797,0.680783389,0.10282297,1,0.039843453,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13592293,1.0,0.136998963
125,0.565217391,0.661016949,0.918962205,0.06911014900000001,1,0.068166972,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136812501,1.0,0.13188250099999999
140,0.565217391,0.6949152540000001,0.253000701,0.099356148,1,0.09100017699999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.135241546,1.0,0.135698392
155,0.565217391,0.711864407,0.35928164100000004,0.077131833,1,0.059776499000000004,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.134338959,1.0,0.137072819
170,0.565217391,0.7288135590000001,0.443458251,0.049672905999999996,1,0.054244462,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136870031,1.0,0.12852788199999998
185,0.565217391,0.745762712,0.40759838600000003,0.044452825,1,0.056373630999999993,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13701228599999998,1.0,0.12847087599999998
200,0.565217391,0.762711864,0.428920741,0.049800752000000004,1,0.043858124000000005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137130431,1.0,0.12842714
215,0.565217391,0.779661017,0.41924162299999995,0.048840685999999994,1,0.055056154,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137481563,1.0,0.128494728
230,0.565217391,0.796610169,0.458879154,0.042270895,1,0.041694005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137774783,1.0,0.128561962
245,0.565217391,0.813559322,0.456609709,0.06475942700000001,1,0.06843817099999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138061256,1.0,0.128630863
260,0.565217391,0.830508475,0.47097332799999997,0.050203776,1,0.068972367,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138355993,1.0,0.12870838099999998
275,0.565217391,0.847457627,0.47995130799999997,0.07160984,1,0.078200321,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138563175,1.0,0.128719496
290,0.565217391,0.86440678,0.523183484,0.070537177,1,0.079513742,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138842397,1.0,0.12882364400000001
305,0.565217391,0.8813559320000001,0.524357681,0.049302179,1,0.055576377,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.139104039,1.0,0.128957721
320,0.565217391,0.898305085,0.7425882890000001,0.051823419,1,0.067546356,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138685765,1.0,0.13045094599999998
335,0.565217391,0.9152542370000001,0.711207832,0.044725317,1,0.058294729,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138926074,1.0,0.130363738
350,0.565217391,0.93220339,0.864553006,0.054097115999999994,1,0.06479286299999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138135189,1.0,0.131580892
365,0.565217391,0.949152542,0.8803752970000001,0.058615464000000006,1,0.07433423,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138466234,1.0,0.131378309
380,0.565217391,0.966101695,0.988994213,0.045383968,1,0.054357005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137067004,1.0,0.132981193
395,0.565217391,0.983050847,0.9375796209999999,0.042001428,1,0.057703585999999994,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137491327,1.0,0.132598095
410,0.565217391,1.0,0.879012685,0.038552189,1,0.061113294000000006,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13805114300000002,1.0,0.13204612599999999
425,0.608695652,0.0,0.836055419,0.03833868,1,0.056723181,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136713699,1.0,0.136076257
440,0.608695652,0.016949153,0.7920704000000001,0.05064575599999999,1,0.073147764,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13603259,1.0,0.13519668699999998
455,0.608695652,0.033898305,0.7944648540000001,0.045820331,1,0.064564286,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.135765987,1.0,0.134776945
470,0.608695652,0.050847458,0.7810343959999999,0.050591678,1,0.064158725,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13562203,1.0,0.13452597300000002
485,0.608695652,0.06779661,0.916384428,0.049534861,1,0.061073545,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137005031,1.0,0.135671328
500,0.608695652,0.084745763,0.935853768,0.053863252,1,0.05502559,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136599343,1.0,0.135719196
515,0.608695652,0.118644068,0.157288334,0.14245815,1,0.145532315,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136757703,1.0,0.136006155
530,0.608695652,0.13559322,0.196380487,0.068372984,1,0.077074133,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137203835,1.0,0.138950883
545,0.608695652,0.152542373,0.24639786,0.077269215,1,0.097990312,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137029597,1.0,0.139630492
560,0.608695652,0.169491525,0.284633765,0.075117453,1,0.082030751,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13681554699999998,1.0,0.140142127
575,0.608695652,0.186440678,0.37882632299999996,0.09166783199999999,1,0.07427094299999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.12892074,1.0,0.129696373
590,0.608695652,0.20338983100000002,0.585622611,0.09173437699999999,1,0.087250921,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.130682149,1.0,0.12993985800000002
605,0.608695652,0.22033898300000002,0.655022946,0.077640631,1,0.06837592299999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13352545400000002,1.0,0.13128384099999998
620,0.608695652,0.237288136,0.940434144,0.133087793,1,0.112518415,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.135472665,1.0,0.133027844
635,0.608695652,0.271186441,0.48182797899999996,0.21480276,1,0.121069285,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136466707,1.0,0.135024485
650,0.608695652,0.288135593,0.594947104,0.09971131800000001,1,0.09483799400000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13262495,1.0,0.130020713
665,0.608695652,0.305084746,0.9106809570000001,0.112771546,1,0.091369555,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.134423045,1.0,0.131142356
680,0.608695652,0.33898305100000004,0.239707773,0.144720397,1,0.107058999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136328262,1.0,0.134414683
695,0.608695652,0.372881356,0.037793198,0.173660426,1,0.11011525900000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137471097,1.0,0.128219925
710,0.608695652,0.38983050799999996,0.8111263320000001,0.19430905699999998,1,0.102673518,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13191577300000001,1.0,0.12874059599999998
725,0.608695652,0.423728814,0.143286737,0.138011062,1,0.102095672,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.1360364,1.0,0.132379226
740,0.608695652,0.44067796600000003,0.42114944600000004,0.11113027199999999,1,0.078295448,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.135923722,1.0,0.137175979
755,0.608695652,0.45762711899999997,0.615573178,0.12322158,1,0.08681422800000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.1333888,1.0,0.128753022
770,0.608695652,0.474576271,0.8780051999999999,0.079817279,1,0.056234269,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.135580867,1.0,0.130489184
785,0.608695652,0.491525424,0.854919112,0.048637068,1,0.054826624000000004,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136410901,1.0,0.13308653
800,0.608695652,0.508474576,0.841019787,0.053224005,1,0.05812238,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136441429,1.0,0.132630152
815,0.608695652,0.525423729,0.8190430870000001,0.045859918,1,0.06623556900000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13648459300000002,1.0,0.132459839
830,0.608695652,0.542372881,0.804178898,0.055981258,1,0.067049525,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136532009,1.0,0.132173958
845,0.608695652,0.559322034,0.831336912,0.054527318,1,0.057624813,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136588404,1.0,0.131834204
860,0.608695652,0.576271186,0.8048064140000001,0.047002903,1,0.062919087,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136669121,1.0,0.131990663
875,0.608695652,0.5932203389999999,0.854030744,0.044861807999999996,1,0.047410242000000005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136682064,1.0,0.132633829
890,0.608695652,0.610169492,0.898312792,0.053783845,1,0.062523017,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136749225,1.0,0.13249075800000001
905,0.608695652,0.627118644,0.92193723,0.044551117,1,0.051790092,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136587344,1.0,0.133412699
920,0.608695652,0.661016949,0.086313183,0.043064819000000004,1,0.05006229,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136334754,1.0,0.13564885599999998
935,0.608695652,0.6779661020000001,0.157342976,0.04297529,1,0.05752764,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.135041257,1.0,0.136789772
950,0.608695652,0.6949152540000001,0.34805596899999997,0.041292496,1,0.055275015,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13633662900000001,1.0,0.128129672
965,0.608695652,0.711864407,0.384464652,0.064231796,1,0.070143253,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136488936,1.0,0.128077293
980,0.608695652,0.7288135590000001,0.534674933,0.074158561,1,0.060084612999999995,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.136829319,1.0,0.128118444
995,0.608695652,0.745762712,0.7247727979999999,0.078187813,1,0.079875061,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13974510199999998,1.0,0.128624938
1010,0.608695652,0.779661017,0.25829168199999997,0.124753258,1,0.079104017,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137618013,1.0,0.131773458
1025,0.608695652,0.796610169,0.856625649,0.090319762,1,0.08272376099999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.140135178,1.0,0.128627334
1040,0.608695652,0.830508475,0.27087247,0.202774858,1,0.100003749,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.137900316,1.0,0.131479346
1055,0.608695652,0.847457627,0.620043637,0.113657985,1,0.076072501,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.139031113,1.0,0.127844871
1070,0.608695652,0.8813559320000001,0.413398235,0.134688044,1,0.080658865,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138861401,1.0,0.1324818
1085,0.608695652,0.898305085,0.588641176,0.061268355999999996,1,0.05827390599999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.139685409,1.0,0.128477392
1100,0.608695652,0.9152542370000001,0.667862066,0.099444695,1,0.07706877200000001,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.139873358,1.0,0.129285971
1115,0.608695652,0.949152542,0.40711743200000006,0.15801852,1,0.077930985,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.139812731,1.0,0.129785694
1130,0.608695652,0.966101695,0.814648455,0.20862386600000002,1,0.117586676,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.140796427,1.0,0.12875967300000002
1145,0.608695652,1.0,0.218783032,0.163566916,1,0.10947708,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.138651791,1.0,0.131817446
1160,0.6521739129999999,0.0,0.512393458,0.09604657,1,0.074435255,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.13466414,1.0,0.136204582
