,type,upDownDelta,upDownCostDeltaSum,upDownLatencyDeltaSum,tightLooseDeltaSum,tightLooseCostDeltaSum,tightLooseLatencyDeltaSum,targetsDetected,destroyed,whereDestroyed.x,missionSuccess
0,lstm_server_1,86765,490942.0,157644.0,166036,63839.0,30322.0,1116.0,1318.0,113215.0,154.0
1,lstm_server_2,86817,487204.0,154773.0,196497,65052.0,27108.0,1154.0,1358.0,112844.0,172.0
2,lstm_server_3,80605,508934.0,163984.0,137574,60359.0,31378.0,1357.0,1479.0,110291.0,217.0
3,mlp_server_1,0,0.0,0.0,30,12.0,35.0,971.0,432.0,127600.0,90.0
4,mlp_server_2,0,0.0,1.0,115,23.0,83.0,934.0,424.0,128380.0,80.0
5,mlp_server_3,3407,22469.0,14317.0,8301,3414.0,5595.0,2401.0,2589.0,83447.0,332.0
6,svr_rbf_server_1,87054,489937.0,156712.0,168419,63255.0,29980.0,1256.0,1303.0,113341.0,176.0
7,svr_rbf_server_2,86970,489111.0,156187.0,193443,64576.0,28008.0,1143.0,1353.0,113612.0,162.0
8,svr_rbf_server_3,80410,503985.0,167979.0,133674,59150.0,31431.0,1405.0,1506.0,110743.0,218.0
9,arima_server_1,21326,122788.0,76804.0,23240,4645.0,9921.0,1192.0,1639.0,103769.0,145.0
10,arima_server_2,21606,123655.0,76213.0,25330,5066.0,10642.0,1221.0,1689.0,103827.0,149.0
11,arima_server_3,10955,74784.0,37484.0,16239,4667.0,9483.0,2121.0,2262.0,90639.0,327.0
